DIPA 01 (BADAN URUSAN ADMINISTRASI),,,,,,,,,
DIPA 01, Rp 1.896.372.000 , Rp 1.176.716.000 , Rp 105.000.000 , Rp 3.178.088.000 ,Persentase Realisasi Anggaran,Realisasi Anggaran Belanja,Realisasi Anggaran,Neraca,CALK
TAHUN 2023, Belanja Pegawai      , Belanja Barang, Belanja Modal,Jumlah,,,,,
JANUARI  , Rp 101.992.212 , Rp 24.424.500 , Rp -   , Rp 126.416.712 ,,doc,Semester 1,doc,Semester 1
FEBRUARI  , Rp 133.798.129 , Rp 46.676.799 , Rp -   , Rp 180.474.928 ,,doc,,doc,
MARET  , Rp 269.021.120 , Rp 109.845.626 , Rp -   , Rp 378.866.746 ,,doc,,doc,
APRIL  , Rp 136.231.106 , Rp 74.675.252 , Rp -   , Rp 210.906.358 ,,doc,,doc,
MEI  , Rp 138.685.629 , Rp 77.507.761 , Rp -   , Rp 216.193.390 ,,doc,,doc,
JUNI  , Rp 266.863.469 , Rp 112.883.023 , Rp -   , Rp 379.746.492 ,,doc,,doc,
JULI  , Rp 136.433.213 , Rp 112.801.321 , Rp -   , Rp 249.234.534 ,,doc,Semester 2,doc,Semester 2
AGUSTUS  , Rp 138.626.218 , Rp 110.431.772 , Rp -   , Rp 249.057.990 ,,doc,,doc,
SEPTEMBER  , Rp 140.214.208 , Rp 78.664.904 , Rp 10.000.000 , Rp 228.879.112 ,,doc,,doc,
OKTOBER  , Rp 139.115.362 , Rp 201.336.541 , Rp -   , Rp 340.451.903 ,,doc,,doc,
NOVEMBER  , Rp 141.249.024 , Rp 112.017.154 , Rp 92.650.000 , Rp 345.916.178 ,,doc,,doc,
DESEMBER  , Rp 137.984.720 , Rp 109.441.879 , Rp -   , Rp 247.426.599 ,,doc,,doc,
JUMLAH, Rp 1.880.214.410 , Rp 1.170.706.532 , Rp 102.650.000 , Rp 3.153.570.942 ,"99,23%",,,,
SISA, Rp 16.157.590 , Rp 6.009.468 , Rp 2.350.000 , Rp 24.517.058 ,"0,77%",,,,
,,,,,,,,,
DIPA 04 (DIRJEN BADAN PERADILAN AGAMA),,,,,,,,,
DIPA 04, Rp 30.000.000 , Rp 15.000.000 , Rp 43.818.000 , Rp 88.818.000 ,Persentase Realisasi Anggaran,Realisasi Anggaran Belanja,Realisasi Anggaran,Neraca,CALK
TAHUN 2023, POSBAKUM, Pembebasan Biaya Perkara, Sidang Di Luar Gedung,Jumlah,,,,,
JANUARI  , Rp -   , Rp -   , Rp -   , Rp -   ,,doc,Semester 1,doc,Semester 1
FEBRUARI  , Rp 1.376.200 , Rp 900.000 , Rp 12.000.000 , Rp 14.276.200 ,,doc,,doc,
MARET  , Rp 2.949.000 , Rp 1.800.000 , Rp 8.790.000 , Rp 13.539.000 ,,doc,,doc,
APRIL  , Rp 2.049.000 , Rp 900.000 , Rp -   , Rp 2.949.000 ,,doc,,doc,
MEI  , Rp 3.455.800 , Rp 900.000 , Rp 14.263.000 , Rp 18.618.800 ,,doc,,doc,
JUNI  , Rp 2.555.800 , Rp 2.850.000 , Rp 8.530.000 , Rp 13.935.800 ,,doc,,doc,
JULI  , Rp 2.555.800 , Rp 1.800.000 , Rp -   , Rp 4.355.800 ,,doc,Semester 2,doc,Semester 2
AGUSTUS  , Rp 2.555.800 , Rp 4.050.000 , Rp -   , Rp 6.605.800 ,,doc,,doc,
SEPTEMBER  , Rp 2.555.800 , Rp 600.000 , Rp -   , Rp 3.155.800 ,,doc,,doc,
OKTOBER  , Rp 2.555.800 , Rp -   , Rp -   , Rp 2.555.800 ,,doc,,doc,
NOVEMBER  , Rp 2.162.600 , Rp 900.000 , Rp -   , Rp 3.062.600 ,,doc,,doc,
DESEMBER  , Rp 4.718.400 , Rp -   , Rp -   , Rp 4.718.400 ,,doc,,doc,
JUMLAH, Rp 29.490.000 , Rp 14.700.000 , Rp 43.583.000 , Rp 87.773.000 ,"98,82%",,,,
SISA, Rp 510.000 , Rp 300.000 , Rp 235.000 , Rp 1.045.000 ,"1,18%",,,,
