DIPA 01 (BADAN URUSAN ADMINISTRASI),,,,,,,,,
DIPA 01, Rp 1.924.995.000 , Rp 1.494.570.000 , Rp -   , Rp 3.419.565.000 ,Persentase Realisasi Anggaran,Realisasi Anggaran Belanja,Realisasi Anggaran,Neraca,CALK
TAHUN 2024, Belanja Pegawai      , Belanja Barang, Belanja Modal,Jumlah,,,,,
JANUARI  , Rp 138.795.572 , Rp 21.074.143 , Rp -   , Rp 159.869.715 ,,doc,Semester 1,doc,Semester 1
FEBRUARI  , Rp 150.256.084 , Rp 192.990.342 , Rp -   , Rp 343.246.426 ,,doc,,doc,
MARET  , Rp 252.920.858 , Rp 115.984.216 , Rp -   , Rp 368.905.074 ,,doc,,doc,
APRIL  , Rp 127.985.586 , Rp 63.292.354 , Rp -   , Rp 191.277.940 ,,doc,,doc,
MEI  , Rp 130.313.748 , Rp 213.327.109 , Rp -   , Rp 343.640.857 ,,doc,,doc,
JUNI  , Rp 259.655.285 , Rp 140.344.507 , Rp -   , Rp 399.999.792 ,,doc,,doc,
JULI  , Rp 134.823.120 , Rp 93.901.290 , Rp -   , Rp 228.724.410 ,,doc,Semester 2,doc,Semester 2
AGUSTUS  , Rp 136.901.874 , Rp 141.818.276 , Rp -   , Rp 278.720.150 ,,doc,,doc,
SEPTEMBER  , Rp 135.330.874 , Rp 108.501.997 , Rp -   , Rp 243.832.871 ,,doc,,doc,
OKTOBER  , Rp 130.011.438 , Rp 97.940.789 , Rp -   , Rp 227.952.227 ,,doc,,doc,
NOVEMBER  , Rp 152.800.826 , Rp 110.282.839 , Rp -   , Rp 263.083.665 ,,doc,,doc,
DESEMBER  ,,,, Rp -   ,,doc,,doc,
JUMLAH, Rp 1.749.795.265 , Rp 1.299.457.862 , Rp -   , Rp 3.049.253.127 ,"89,17%",,,,
SISA, Rp 175.199.735 , Rp 195.112.138 , Rp -   , Rp 370.311.873 ,"10,83%",,,,
,,,,,,,,,
DIPA 04 (DIRJEN BADAN PERADILAN AGAMA),,,,,,,,,
DIPA 04, Rp 30.000.000 , Rp 18.000.000 , Rp 40.000.000 , Rp 88.000.000 ,Persentase Realisasi Anggaran,Realisasi Anggaran Belanja,Realisasi Anggaran,Neraca,CALK
TAHUN 2024, POSBAKUM, Pembebasan Biaya Perkara, Sidang Di Luar Gedung,Jumlah,,,,,
JANUARI  , Rp -   , Rp -   , Rp -   , Rp -   ,,doc,Semester 1,doc,Semester 1
FEBRUARI  , Rp 1.769.400 , Rp -   , Rp 13.320.000 , Rp 15.089.400 ,,doc,,doc,
MARET  , Rp 3.000.000 , Rp 300.000 , Rp -   , Rp 3.300.000 ,,doc,,doc,
APRIL  , Rp 3.000.000 , Rp 450.000 , Rp 18.660.000 , Rp 22.110.000 ,,doc,,doc,
MEI  , Rp 3.630.600 , Rp -   , Rp -   , Rp 3.630.600 ,,doc,,doc,
JUNI  , Rp 3.600.000 , Rp -   , Rp -   , Rp 3.600.000 ,,doc,,doc,
JULI  , Rp 2.600.000 , Rp 450.000 , Rp -   , Rp 3.050.000 ,,doc,Semester 2,doc,Semester 2
AGUSTUS  , Rp 2.600.000 , Rp -   , Rp 3.492.000 , Rp 6.092.000 ,,doc,,doc,
SEPTEMBER  , Rp 2.600.000 , Rp 7.500.000 , Rp 2.470.000 , Rp 12.570.000 ,,doc,,doc,
OKTOBER  , Rp 2.600.000 , Rp 2.400.000 , Rp -   , Rp 5.000.000 ,,doc,,doc,
NOVEMBER  , Rp 2.600.000 , Rp 5.100.000 , Rp 2.040.000 , Rp 9.740.000 ,,doc,,doc,
DESEMBER  ,,,, Rp -   ,,doc,,doc,
JUMLAH, Rp 28.000.000 , Rp 16.200.000 , Rp 39.982.000 , Rp 84.182.000 ,"95,66%",,,,
SISA, Rp 2.000.000 , Rp 1.800.000 , Rp 18.000 , Rp 3.818.000 ,"4,34%",,,,
