DIPA 01 (BADAN URUSAN ADMINISTRASI),,,,,,,,,
DIPA 01, Rp 2.621.007.000 , Rp 1.701.276.000 , Rp 208.912.000 , Rp 4.531.195.000 ,Persentase Realisasi Anggaran,Realisasi Anggaran Belanja,Realisasi Anggaran,Neraca,CALK
TAHUN 2025, Belanja Pegawai      , Belanja Barang, Belanja Modal,Jumlah,,,,,
JANUARI  , Rp 290.436.864 , Rp 83.520.818 , Rp -   , Rp 373.957.682 ,,doc,Semester 1,doc,Semester 1
FEBRUARI  , Rp 154.981.629 , Rp 135.707.372 , Rp 208.308.000 , Rp 498.997.001 ,,doc,,doc,
MARET  , Rp 310.243.865 , Rp 121.275.863 , Rp -   , Rp 431.519.728 ,,doc,,doc,
APRIL  , Rp 156.485.869 , Rp 114.516.722 , Rp -   , Rp 271.002.591 ,,doc,,doc,
MEI  , Rp 310.145.164 , Rp 97.472.000 , Rp -   , Rp 407.617.164 ,,doc,,doc,
JUNI  , Rp 156.485.869 , Rp 124.083.047 , Rp -   , Rp 280.568.916 ,,doc,,doc,
JULI  , Rp 127.587.516 , Rp 261.533.047 , Rp -   , Rp 389.120.563 ,,doc,Semester 2,doc,Semester 2
AGUSTUS  , Rp 132.849.517 , Rp 219.110.724 , Rp -   , Rp 351.960.241 ,,doc,,doc,
SEPTEMBER  , Rp 210.588.781 , Rp 119.211.499 , Rp -   , Rp 329.800.280 ,,doc,,doc,
OKTOBER  , Rp 215.013.283 , Rp 194.170.960 , Rp -   , Rp 409.184.243 ,,doc,,doc,
NOVEMBER  , Rp 217.230.797 , Rp 97.845.285 , Rp -   , Rp 315.076.082 ,,doc,,doc,
DESEMBER  , Rp 224.104.394 , Rp 127.439.520 , Rp -   , Rp 351.543.914 ,,doc,,doc,
JUMLAH, Rp 2.506.153.548 , Rp 1.695.886.857 , Rp 208.308.000 , Rp 4.410.348.405 ,"97,33%",,,,
SISA, Rp 114.853.452 , Rp 5.389.143 , Rp 604.000 , Rp 120.846.595 ,"2,67%",,,,
,,,,,,,,,
DIPA 04 (DIRJEN BADAN PERADILAN AGAMA),,,,,,,,,
DIPA 04, Rp 30.000.000 , Rp 8.250.000 , Rp 40.000.000 , Rp 78.250.000 ,Persentase Realisasi Anggaran,Realisasi Anggaran Belanja,Realisasi Anggaran,Neraca,CALK
TAHUN 2025, POSBAKUM, Pembebasan Biaya Perkara, Sidang Di Luar Gedung,Jumlah,,,,,
JANUARI  , Rp -   , Rp -   , Rp 9.070.000 , Rp 9.070.000 ,,doc,Semester 1,doc,Semester 1
FEBRUARI  , Rp 2.700.000 , Rp -   , Rp 6.790.000 , Rp 9.490.000 ,,doc,,doc,
MARET  , Rp 4.200.000 , Rp 678.000 , Rp 860.000 , Rp 5.738.000 ,,doc,,doc,
APRIL  , Rp 800.000 , Rp -   , Rp 22.930.000 , Rp 23.730.000 ,,doc,,doc,
MEI  , Rp 5.500.000 , Rp 273.000 , Rp -   , Rp 5.773.000 ,,doc,,doc,
JUNI  , Rp 4.400.000 , Rp -   , Rp -   , Rp 4.400.000 ,,doc,,doc,
JULI  , Rp 3.900.000 , Rp -   , Rp -   , Rp 3.900.000 ,,doc,Semester 2,doc,Semester 2
AGUSTUS  , Rp 4.900.000 , Rp -   , Rp -   , Rp 4.900.000 ,,doc,,doc,
SEPTEMBER  , Rp 2.500.000 , Rp 540.000 , Rp -   , Rp 3.040.000 ,,doc,,doc,
OKTOBER  , Rp 1.100.000 , Rp -   , Rp 253.807 , Rp 1.353.807 ,,doc,,doc,
NOVEMBER  , Rp -   , Rp -   , Rp -   , Rp -   ,,doc,,doc,
DESEMBER  , Rp -   , Rp -   , Rp -   , Rp -   ,,doc,,doc,
JUMLAH, Rp 30.000.000 , Rp 1.491.000 , Rp 39.903.807 , Rp 71.394.807 ,"91,24%",,,,
SISA, Rp -   , Rp 6.759.000 , Rp 96.193 , Rp 6.855.193 ,"8,76%",,,,
